"country","AnimePopularityInterest2024","AnimePopularityInterest2023"
"India",92,65
"China",100,12
"United States",83,75
"Indonesia",76,76
"Pakistan",70,56
"Nigeria",71,76
"Brazil",75,89
"Bangladesh",88,62
"Russia",80,86
"Ethiopia",59,50
"Mexico",64,78
"Japan",80,77
"Egypt",100,62
"Philippines",71,68
"DR Congo",82,26
"Vietnam",97,61
"Iran",61,62
"Turkey",80,90
"Germany",78,84
"Thailand",83,70
"United Kingdom",87,82
"Tanzania",66,40
"France",83,48
"South Africa",67,63
"Italy",75,77
"Kenya",46,43
"Myanmar",78,84
"Colombia",75,69
"South Korea",49,56
"Sudan",83,38
"Uganda",50,38
"Spain",88,77
"Algeria",79,56
"Iraq",90,70
"Argentina",99,78
"Afghanistan",77,65
"Yemen",100,61
"Canada",81,78
"Poland",76,63
"Morocco",82,58
"Angola",74,65
"Ukraine",79,83
"Uzbekistan",70,62
"Malaysia",85,84
"Mozambique",74,74
"Ghana",62,58
"Peru",98,96
"Saudi Arabia",78,64
"Madagascar",68,43
"Ivory Coast",81,41
"Nepal",80,60
"Cameroon",77,46
"Venezuela",82,73
"Niger",63,32
"Australia",86,84
"North Korea",11,100
"Syria",99,57
"Mali",53,40
"Burkina Faso",70,28
"Taiwan",59,13
"Sri Lanka",84,78
"Malawi",55,39
"Zambia",56,55
"Kazakhstan",73,67
"Chad",60,49
"Chile",97,84
"Romania",79,82
"Somalia",87,54
"Senegal",73,36
"Guatemala",74,66
"Netherlands",92,80
"Ecuador",79,80
"Cambodia",79,70
"Zimbabwe",53,51
"Guinea",43,27
"Benin",75,34
"Rwanda",53,38
"Burundi",35,33
"Bolivia",93,69
"Tunisia",75,53
"South Sudan",73,56
"Haiti",74,32
"Belgium",78,66
"Jordan",83,74
"Dominican Republic",90,81
"United Arab Emirates",86,77
"Cuba",89,69
"Honduras",76,73
"Czech Republic",80,88
"Sweden",98,83
"Tajikistan",61,64
"Papua New Guinea",35,35
"Portugal",92,86
"Azerbaijan",87,80
"Greece",81,74
"Hungary",80,82
"Togo",60,45
"Israel",71,74
"Austria",85,78
"Belarus",83,77
"Switzerland",85,66
"Sierra Leone",66,41
"Laos",71,81
"Turkmenistan",61,76
"Hong Kong",55,24
"Libya",87,71
"Kyrgyzstan",73,59
"Paraguay",93,74
"Nicaragua",73,69
"Bulgaria",66,83
"Serbia",66,78
"El Salvador",78,76
"Republic of the Congo",72,28
"Denmark",89,77
"Singapore",92,75
"Lebanon",82,68
"Finland",100,76
"Liberia",98,71
"Norway",95,78
"Slovakia",83,98
"Palestine",80,78
"Central African Republic",100,83
"Oman",77,58
"Ireland",83,85
"New Zealand",87,73
"Mauritania",85,61
"Costa Rica",85,78
"Kuwait",95,79
"Panama",88,86
"Croatia",75,77
"Georgia",77,82
"Mongolia",97,60
"Uruguay",100,83
"Puerto Rico",63,70
"Bosnia and Herzegovina",70,78
"Qatar",89,64
"Moldova",88,72
"Namibia",32,59
"Armenia",72,57
"Lithuania",95,74
"Jamaica",79,58
"Albania",100,71
"Gambia",69,92
"Gabon",74,39
"Botswana",45,68
"Lesotho",91,97
"Guinea-Bissau",90,85
"Slovenia",80,77
"Equatorial Guinea",46,34
"Latvia",80,85
"North Macedonia",55,75
"Bahrain",63,67
"Trinidad and Tobago",62,59
"Timor-Leste",44,52
"Estonia",81,95
"Cyprus",87,79
"Mauritius",72,60
"Eswatini",37,37
"Djibouti",72,43
"Fiji",67,50
"Reunion",69,43
"Comoros",48,55
"Guyana",60,62
"Solomon Islands",66,61
"Bhutan",73,64
"Macau",63,16
"Luxembourg",100,38
"Montenegro",61,68
"Suriname",77,66
"Western Sahara",46,43
"Malta",96,61
"Maldives",64,59
"Cape Verde",72,67
"Brunei",57,58
"Belize",56,65
"Bahamas",53,69
"Iceland",78,72
"Guadeloupe",66,27
"Martinique",70,39
"Mayotte",51,26
"French Guiana",83,36
"New Caledonia",47,37
"Barbados",63,63
"French Polynesia",69,36
"Sao Tome and Principe",50,53
"Samoa",81,63
"Curacao",47,48
"Saint Lucia",58,30
"Guam",64,68
"Kiribati",100,
"Seychelles",58,73
"Grenada",67,43
"Micronesia",27,100
"Aruba",64,37
"Tonga",74,60
"Jersey",81,82
"Saint Vincent and the Grenadines",56,74
"Antigua and Barbuda",99,57
"United States Virgin Islands",39,65
"Isle of Man",77,76
"Andorra",60,46
"Cayman Islands",64,44
"Dominica",41,57
"Bermuda",94,56
"Guernsey",70,66
"Faroe Islands",88,100
"Saint Kitts and Nevis",81,54
"American Samoa",26,40
"Northern Mariana Islands",34,30
"Sint Maarten",73,59
"Liechtenstein",,100
"British Virgin Islands",58,33
"Gibraltar",78,100
"Marshall Islands",89,94
"San Marino",100,77
"Saint Martin",86,69
"Palau",70,100
"Anguilla",100,16
"Cook Islands",100,83
"Saint Barthelemy",58,41
